Usuario,Periodo,Comentario,ODSEW-ShBeI-QClCJf-QYOpke-title,ODSEW-ShBeI-QClCJf-QYOpke-VdSJob,ODSEW-ShBeI-text 2
Alba Osiris,5 months ago,,Response from the owner,4 months ago,"Gracias Alba por tu calificación, te esperamos nuevamente

(Translated by Google)
Thank you Alba for your rating, we wait for you again"
Karina Martínez,5 months ago,La atención es muy buena y la ubicación excelente. Se cumplen las medidas de distancia social. Los baños limpios. Recomendado! …,Response from the owner,4 months ago,"Gracias Karina por tu comentario, te esperamos nuevamente.

(Translated by Google)
Thank you Karina for your comment, we are waiting for you again."
Antonieta Larez R,5 months ago,,Response from the owner,4 months ago,"Gracias Antonieta por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thank you Antonieta for your rating, we are waiting for you again."
Jose Roberto Campos,5 months ago,,Response from the owner,4 months ago,"Gracias José por tu calificación, te esperamos nuevamente

(Translated by Google)
Thank you José for your rating, we are waiting for you again"
José javier Aguilar bolivar,5 months ago,,Response from the owner,4 months ago,"Gracias José por tu calificación te esperamos nuevamente.

(Translated by Google)
Thank you José for your rating, we wait for you again."
Ananda Martínez,5 months ago,,Response from the owner,4 months ago,"Gracias Ananda por tu calificación, te esperamos nuevamente

(Translated by Google)
Thank you Ananda for your rating, we wait for you again"
Nicole Molina B.,5 months ago,,Response from the owner,4 months ago,"Gracias Nicole por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thank you Nicole for your rating, we hope to see you again."
JAVIERA PORTILLA ROJAS,5 months ago,,Response from the owner,4 months ago,"Gracias Javiera por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thank you Javiera for your rating, we are waiting for you again."
Cristóbal Fernández,5 months ago,,Response from the owner,4 months ago,"Gracias Cristóbal por tu calificación, te esperamos nuevamente

(Translated by Google)
Thank you Cristóbal for your rating, we are waiting for you again"
Yohan Jose Sangronis Torrealba,5 months ago,"Excelente atención del personal que allí labora felicitaciones por su trabajo

(Translated by Google) …",Response from the owner,5 months ago,"Gracias Yohan por tu calificación te esperamos nuevamente

(Translated by Google)
Thank you Yohan for your rating, we wait for you again"
Markos Max Herrera Roman,5 months ago,,Response from the owner,5 months ago,"Gracias Markos por tu calificación, te esperamos nuevamente

(Translated by Google)
Thank you Markos for your rating, we wait for you again"
Vanessa Gallardo,5 months ago,"Excelente pizzas 🍕, las mejores de santiago.
Y la atención súper buena! …",Response from the owner,5 months ago,"Gracias Vanessa por tu calificación, te esperamos nuevamente

(Translated by Google)
Thank you Vanessa for your rating, we are waiting for you again"
Camila Vergara Vilchez,5 months ago,"Muy buena experiencia a pesar de estar en la calle debido a la pandemia. Existe mucho espacio entre las mesas, además, las mesas se encuentran en una calle cerrada, por lo tanto es seguro y menos ruidoso. Las pizzas son exquisitas y el …",Response from the owner,5 months ago,"Gracias Camila por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thank you Camila for your rating, we are waiting for you again."
Felipe Crowhurst Pons,5 months ago,,Response from the owner,5 months ago,"Gracias Felipe por tu calificación, te esperamos nuevamente

(Translated by Google)
Thank you Felipe for your rating, we wait for you again"
Daniela Gonzalez,5 months ago,"Agradable lugar para ir con familia o amigos, pizzas bien hechas y ricas

(Translated by Google) …",Response from the owner,5 months ago,"Gracias Daniela por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thank you Daniela for your rating, we are waiting for you again."
Marco Bustamante Salgado,5 months ago,,Response from the owner,5 months ago,"Gracias Marco por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thank you Marco for your rating, we wait for you again."
Nathalie Bravo,5 months ago,3 vez que voy y segunda que me suman cosas que NO consumí en mi boleta! HORRIBLE! …,,,
CRISTIAN CRISTIAN,5 months ago,Acogedor lugar ..recomendable además los muchachos que atienden las mesas muy atentos..amables... …,Response from the owner,5 months ago,"Gracias Cristian por tu calificación, te esperamos nuevamente

(Translated by Google)
Thanks Cristian for your rating, we wait for you again"
Harald Heitmann,5 months ago,,Response from the owner,5 months ago,"Gracias Harald por tu calificación, te esperamos nuevamente

(Translated by Google)
Thank you Harald for your rating, we wait for you again"
Paula Jara C,5 months ago,,Response from the owner,5 months ago,"Gracias Paula por tu calificación, te esperamos nuevamente

(Translated by Google)
Thank you Paula for your rating, we are waiting for you again"
raul andres lobo cerrada,5 months ago,,Response from the owner,5 months ago,"Gracias Raúl por tu calificación, te esperamos nuevamente

(Translated by Google)
Thank you Raúl for your rating, we are waiting for you again"
Mario Italo Contreras Casassa,5 months ago,"Las mejores pizzas al estilo napolitano

(Translated by Google)
The best Neapolitan-style pizzas",Response from the owner,5 months ago,"Gracias Mario por tu calificación te esperamos nuevamente

(Translated by Google)
Thank you Mario for your rating we wait for you again"
Claudio Daveggio,5 months ago,"Rica pizza contundente, quizás demasiado fina la masa pero es a gusto

(Translated by Google) …",,,
Carlos Aros,5 months ago,,Response from the owner,5 months ago,"Gracias Chuck por tu calificación, te esperamos nuevamente

(Translated by Google)
Thank you Chuck for your rating, we hope to see you again"
Jose HASSI GIDI,5 months ago,"Las mejores pizzas. Una pena que hayan sacado las pastas de todas formas.

(Translated by Google) …",Response from the owner,5 months ago,"Gracias José por tu calificación, te esperamos nuevamente

(Translated by Google)
Thank you José for your rating, we are waiting for you again"
francisco espinoza,5 months ago,,Response from the owner,5 months ago,"Gracias Francisco por tu calificación, te esperamos nuevamente

(Translated by Google)
Thank you Francisco for your rating, we wait for you again"
Kender Guevara,5 months ago,,Response from the owner,5 months ago,"Gracias Kender por tu calificación, te esperamos nuevamente

(Translated by Google)
Thank you Kender for your rating, we wait for you again"
María Elena Orellana,5 months ago,"Excelente pizza 😋

(Translated by Google)
Excellent pizza 😋",Response from the owner,5 months ago,"Muchas gracias Maria por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thank you very much Maria for your rating, we are waiting for you again."
Vicmar Andrade Flores,5 months ago,,Response from the owner,5 months ago,"Muchas gracias Vicmar por tu calificación, te esperamos nuevamente

(Translated by Google)
Thank you very much Vicmar for your rating, we are waiting for you again"
Gustavo Zambrano,5 months ago,"Exquisita Pizza Napoletana, hecha con ingredientes de primera, buen ambiente y buena atención. …",,,
Keyla Galindo,5 months ago,,Response from the owner,5 months ago,"Gracias Keyla por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thank you Keyla for your rating, we are waiting for you again."
Felipe Figer,5 months ago,"Comida excelente, atención pésima; me dijeron que tendría la posibilidad de estar en terraza y tuve que esperar más de una hora que eso sucediera, pasaba gente a la terraza mientras que los meseros se equivocaron y no tuve respuesta, me fui …",,,
Valentina Hernández Castaño,5 months ago,"Divino!!

(Translated by Google)
Divine!!",Response from the owner,5 months ago,"Gracias Valentina por tu calificación, te esperamos nuevamente

(Translated by Google)
Thank you Valentina for your rating, we are waiting for you again"
Simon Garcia,5 months ago,,Response from the owner,5 months ago,"Gracias Simón por tu calificacion te esperamos nuevamente

(Translated by Google)
Thank you Simón for your rating, we are waiting for you again"
Felipe Rojas,5 months ago,,Response from the owner,5 months ago,"Gracias Felipe por tu calificación te esperamos nuevamente

(Translated by Google)
Thank you Felipe for your rating, we wait for you again"
Pedro José Rodríguez,5 months ago,Quitaron muchos platos del menú. Ya no hay ni pastas ni lasaña. Una pena acceso restringido solo terraza y meses fuera del local …,,,
Daniela Hermosilla,5 months ago,,Response from the owner,5 months ago,"Gracias Daniels por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thank you Daniels for your rating, we look forward to seeing you again."
Gonzalo Urbina,5 months ago,"Francamente de las mejores pizzas que he probado

(Translated by Google) …",Response from the owner,5 months ago,"Gracias Gonzalo por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thank you Gonzalo for your rating, we are waiting for you again."
sebastian alejandro gonzalez miranda,5 months ago,,Response from the owner,5 months ago,"Gracias Sebastián por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thank you Sebastian for your rating, we are waiting for you again."
Cristian Rojas,5 months ago,,Response from the owner,5 months ago,"Gracias Cristian por tu calificación, te esperamos nuevamente

(Translated by Google)
Thanks Cristian for your rating, we wait for you again"
Manuel Radouan,5 months ago,✌🏻,Response from the owner,5 months ago,"Gracias Manuel por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thank you Manuel for your rating, we wait for you again."
Claudia Pinochet,5 months ago,"La atención rápida y muy cordial, pero la comida estaba fría.

(Translated by Google) …",Response from the owner,5 months ago,"Gracias Claudia por tu calificación, te esperamos nuevamente y tomar enos en cuenta lo mencionado.

(Translated by Google)
Thank you Claudia for your rating, we wait for you again and take the aforementioned into account."
Sandra Baeza,5 months ago,"me encanto rapida atención buenos tragos las pizzas demasiado ricas

(Translated by Google) …",Response from the owner,5 months ago,"Gracias Sandra por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thank you Sandra for your rating, we are waiting for you again."
Raúl Pacheco,5 months ago,"Probé la pizza Margarita original, no la recomiendo, una salsa Pomodoro ácida, lo digo porque se hacer Pomodoro y neutralizando la acidez. Una masa insípida, no la pediría de nuevo,  por muy original debe ser un producto apetecible y que …",,,
adriana carolina capua salazar,5 months ago,,Response from the owner,5 months ago,"Gracias Andriana por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thank you Andriana for your rating, we are waiting for you again."
raul jose gonzalez ramirez,5 months ago,,Response from the owner,5 months ago,"Gracias Raúl por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thank you Raúl for your rating, we are waiting for you again."
Eliezer Daniel Marquez Suniaga,5 months ago,"Buen servicio.

(Translated by Google)
Great service.",Response from the owner,5 months ago,"Gracias Eliezer por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thank you Eliezer for your rating, we wait for you again."
Sergio Andrés Couto,5 months ago,"De lo mejor de Santiago

(Translated by Google)
The best of Santiago",Response from the owner,5 months ago,"Gracias Sergio por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thank you Sergio for your rating, we are waiting for you again."
Nicolás Alberto Conte,5 months ago,,Response from the owner,5 months ago,"Gracias Nicolás por tu calificacion, te esperamos nuevamente.

(Translated by Google)
Thank you Nicolás for your rating, we are waiting for you again."
Carger Varela,5 months ago,"Buen ambiente, buena comida

(Translated by Google)
Good atmosphere, good food",Response from the owner,5 months ago,"Gracias Carger por tu calificación te esperamos nuevamente.

(Translated by Google)
Thank you Carger for your rating, we wait for you again."
natalia valenzuela,5 months ago,,Response from the owner,5 months ago,"Gracias Natalia por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thanks Natalia for your rating, we are waiting for you again."
Maria Gabriela Montoya Ceballos,5 months ago,,Response from the owner,5 months ago,"Gracias María por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thank you Maria for your rating, we wait for you again."
Maria Jesus Golusda,5 months ago,"Buen control de covid, buena higiene del lugar. Las pizzas tiene un tamaño, precio y calidad muy buenas. Ingredientes frescos, y pizzas novedosas. Tragos muy bien preparados. …",Response from the owner,5 months ago,"Gracias Jesu por tu valoración y comentarios, te esperamos nuevamente.

(Translated by Google)
Thank you Jesu for your assessment and comments, we are waiting for you again."
Soraya C Altair,5 months ago,"Esperando atención médica en  veterinaria Guillet

(Translated by Google) …",Response from the owner,5 months ago,"Gracias por tu valoración.

(Translated by Google)
Thank you for your feedback."
Paula Goncalves,5 months ago,,Response from the owner,5 months ago,"Gracias Paula por tu calificación.

(Translated by Google)
Thank you Paula for your rating."
Mauricio Macaya,5 months ago,,Response from the owner,5 months ago,"Gracias Mauricio por tu calificación.

(Translated by Google)
Thank you Mauricio for your rating."
matías avila rivas,5 months ago,"Pizzas maravillosas, gran variedad de sabores y de cervezas

(Translated by Google) …",Response from the owner,5 months ago,"Gracias por tu valoración y comentarios Matías.

(Translated by Google)
Thank you for your assessment and comments Matías."
jose miguel olave,5 months ago,,Response from the owner,5 months ago,"Gracias José Miguel por tu calificación.

(Translated by Google)
Thank you José Miguel for your rating."
Claudio Perez,5 months ago,"Muy preocupados del servicio.  Rico, rápido y bien presentado todo.

(Translated by Google) …",Response from the owner,5 months ago,"Gracias por tu valoración y comentarios Claudio.

(Translated by Google)
Thank you for your assessment and comments Claudio."
Hernan Suarez,6 months ago,"Exquisitas las pizzas, creo que las mejores que he probado en Santiago

(Translated by Google) …",Response from the owner,5 months ago,"Gracias Hernan por tu valoración.

(Translated by Google)
Thank you, Hernan, for your assessment."
Julio Rivera,6 months ago,,Response from the owner,5 months ago,"Gracias Julio por tu calificación.

(Translated by Google)
Thank you Julio for your rating."
Emma González,6 months ago,,Response from the owner,5 months ago,"Gracias por tu calificación Emma.

(Translated by Google)
Thank you for your rating Emma."
Amada Gabriela Medina Heredia,6 months ago,Me gustó mucho la masa de la pizza... Y el sabor en general estuvo bastante bueno... Aunque las aceitunas tenían harto vinagre 😊✌️ …,Response from the owner,5 months ago,"Gracias por tu valoración y comentarios  Amanda.

(Translated by Google)
Thank you for your evaluation and comments Amanda."
Romina Gutierrez,6 months ago,,Response from the owner,5 months ago,"Gracias por tu valoración Romina.

(Translated by Google)
Thanks for your evaluation Romina."
Jorge 701,6 months ago,,Response from the owner,5 months ago,"Gracias Jorge por tu calificación.

(Translated by Google)
Thanks Jorge for your rating."
Liselotte Valera,6 months ago,,Response from the owner,5 months ago,"Gracias Liselotte por tu calificación, te esperamos prontamente.

(Translated by Google)
Thank you Liselotte for your rating, we are waiting for you soon."
Victoria Valenzuela Henriquez,6 months ago,"Todo rico, pero sacaron la pizza de salsa BBQ la atención lenta igual.

(Translated by Google) …",Response from the owner,5 months ago,"Victoria, haremos llegar tus comentarios al equipo.

(Translated by Google)
Victoria, we will send your comments to the team."
somber soul,6 months ago,,Response from the owner,5 months ago,"Gracias Somber por tu valoración.

(Translated by Google)
Thank you Somber for your assessment."
Isaac Ibacache,6 months ago,"Las mejores pizzas que he probado en Santiago. Riceta napoletana verissima!

(Translated by Google) …",Response from the owner,5 months ago,"Gracias Isaac por tu valoración y comentarios.

(Translated by Google)
Thank you Isaac for your assessment and comments."
Martin Barrenechea,6 months ago,"Buenísimas pizzas tradicionales italianas, tanto la masa como la salsa y la preparacion, 100% recomendable!! …",Response from the owner,5 months ago,"Gracias Martín por tu calificación, comentarios y recomendación.

(Translated by Google)
Thank you Martín for your rating, comments and recommendation."
Esteban Galleguillos,6 months ago,"Super, buena atención de las chicas. Felicitaciones.

(Translated by Google) …",Response from the owner,5 months ago,"Gracias Esteban por tu calificación, te esperamos prontamente.

(Translated by Google)
Thank you Esteban for your rating, we hope to see you soon."
Oskar Kardenas,6 months ago,,Response from the owner,5 months ago,"Gracias por tu calificación Oskar.

(Translated by Google)
Thanks for your rating Oskar."
Maria Lopez,6 months ago,"La mejor pizza❤

(Translated by Google)
The best pizza❤",Response from the owner,5 months ago,"Gracias por tu comentario María.

(Translated by Google)
Thanks for your comment María."
lokier,6 months ago,"Ricas pizza

(Translated by Google)
Delicious pizza",Response from the owner,5 months ago,"Gracias Lokier por tu valoración, te esperamos prontamente.

(Translated by Google)
Thank you Lokier for your assessment, we wait for you soon."
adriana martin,6 months ago,,Response from the owner,5 months ago,"Gracias por tu calificación Adriana.

(Translated by Google)
Thanks for your rating Adriana."
Rafael A. Reyes T.,6 months ago,"Pizzas ricas pero muy lentos

(Translated by Google)
Rich but very slow pizzas",Response from the owner,5 months ago,"Rafael, haremos llegar tus comentarios al equipo.

(Translated by Google)
Rafael, we will send your comments to the team."
fernando ramon chacon torrivilla,6 months ago,"Buen lugar

(Translated by Google)
Good place",Response from the owner,5 months ago,"Gracias Fernando por tu valoración y comentario.

(Translated by Google)
Thank you Fernando for your assessment and comment."
Andres Music Caceres,6 months ago,"Excelentes pizzas, la masa muy rica y los ingredientes frescos. Recomiendo la pizza Sofía que lleva pesto y tomate curry, riquísima …",Response from the owner,5 months ago,"Gracias Andrés por tu valoración, comentarios y recomendación.

(Translated by Google)
Thank you Andrés for your assessment, comments and recommendation."
Wilmer Forghieri,6 months ago,"Buena atención

(Translated by Google)
Good attention",Response from the owner,5 months ago,"Gracias por tu valoración y comentarios Wilmer.

(Translated by Google)
Thank you for your evaluation and comments Wilmer."
Julio Ferrer,6 months ago,,Response from the owner,5 months ago,"Gracias Julio por tu valoración. Te esperamos prontamente.

(Translated by Google)
Thanks Julio for your assessment. We wait for you soon."
Norys C Herrera P,6 months ago,"Excelentes pizzas a la piedra... Y los mojitos de lo mejor..

(Translated by Google) …",Response from the owner,5 months ago,"Gracias Norys por tu valoración y comentarios.

(Translated by Google)
Thank you Norys for your assessment and comments."
benjamin rolando urmeneta salazar,6 months ago,,Response from the owner,5 months ago,"Gracias por tu calificación Benjamin, te esperamos nuevamente.

(Translated by Google)
Thank you for your rating Benjamin, we look forward to seeing you again."
Borja Bernasconi,6 months ago,"Muy buenas pizzas y palitos de ajo, la cerveza rica. Sería bueno que hubiera más variedad de schopp …",Response from the owner,5 months ago,"Gracias Borja, por tu calificación y comentarios, haremos llegar tu sugerencia al equipo.

(Translated by Google)
Thank you Borja, for your rating and comments, we will send your suggestion to the team."
Marce Alvarado,6 months ago,,Response from the owner,5 months ago,"Gracias Paz por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thank you Paz for your rating, we wait for you again."
José Sisniega,6 months ago,,Response from the owner,5 months ago,"Gracias José por tu valoración.

(Translated by Google)
Thank you José for your assessment."
Cristián Celpa,6 months ago,"Mesas en la calle, con buen distanciamiento social

(Translated by Google) …",Response from the owner,5 months ago,"Gracias por tu valoración y comentarios Cristián.

(Translated by Google)
Thanks for your evaluation and comments Cristián."
María José Díaz Meza,6 months ago,,Response from the owner,5 months ago,"Gracias por tu valoración María José.

(Translated by Google)
Thank you for your evaluation María José."
Karina Garrido,6 months ago,"Buenas pizzas :)

(Translated by Google)
Good pizzas :)",Response from the owner,5 months ago,"Gracias Karina por tu valoración y comentario.

(Translated by Google)
Thank you Karina for your assessment and comment."
Alex Sánchez,6 months ago,,Response from the owner,5 months ago,"Gracias Alex por tu calificación.

(Translated by Google)
Thanks Alex for your rating."
Mariana hernandez,6 months ago,"Muy mal servicio,las pizzas ricas pero tibias,masa poco crocante.

(Translated by Google) …",Response from the owner,5 months ago,"Mariana, lamentamos tu experiencia, haremos llegar tus comentarios al equipo.

(Translated by Google)
Mariana, we regret your experience, we will send your comments to the team."
Macarena Portilla,6 months ago,"Muy ricas pizzas! Masa fresca y buenos ingredientes

(Translated by Google) …",Response from the owner,5 months ago,"Gracias por tu valoración y comentarios Macarena.

(Translated by Google)
Thank you for your assessment and comments Macarena."
Ron Churion,6 months ago,,Response from the owner,5 months ago,"Gracias por tu calificación Ronald

(Translated by Google)
Thanks for your review Ronald"
Daniela Loyola,6 months ago,"Exquisito !

(Translated by Google)
Exquisite!",Response from the owner,5 months ago,"Gracias Daniela por tu valoración y comentario.

(Translated by Google)
Thank you Daniela for your assessment and comment."
Juan Gonzalez,6 months ago,"Excelente ubicación y atención

(Translated by Google)
Excellent location and attention",Response from the owner,6 months ago,"Nos hubiese gustado saber más en relación a tu valoración.

(Translated by Google)
We would have liked to know more about your assessment."
Daniel Ignacio Figueroa,6 months ago,,Response from the owner,5 months ago,"Gracias Daniel por tu calificación

(Translated by Google)
Thanks Daniel for your rating"
Gerardo López (GLopez97),6 months ago,,Response from the owner,6 months ago,"Gracias Gerardo por tu valoración, te esperamos prontamente.

(Translated by Google)
Thank you Gerardo for your assessment, we are waiting for you soon."
Marcondes Santos,6 months ago,,Response from the owner,6 months ago,"Gracias Marcondes por tu calificación, nos hubiese gustado saber más en relación a tu valoración.

(Translated by Google)
Thank you Marcondes for your rating, we would have liked to know more about your assessment."
Kali Obsum,6 months ago,,Response from the owner,6 months ago,"Gracias Kali por tu calificación.

(Translated by Google)
Thank you Kali for your rating."
Cami Roa,6 months ago,,Response from the owner,6 months ago,"Gracias Cami por tu calificación, te esperamos prontamente.

(Translated by Google)
Thank you Cami for your rating, we are waiting for you soon."
Alexis German,6 months ago,"Primero que todo un reconocimiento a la cocina por su labor de llevar al plato exquisito salmón al carpaccio, por el lado del bar, los tragos que consumimos tenían más de la mitad del vaso con hielo a la vez estaban muy dulces, se habló con …",Response from the owner,6 months ago,"Nos gustaría haber tenido más información en relación a tu valoración Alexis.

(Translated by Google)
We would like to have more information regarding your assessment Alexis."
mario alvarez,6 months ago,,Response from the owner,6 months ago,"Gracias Mario por tu valoración, te esperamos prontamente.

(Translated by Google)
Thank you Mario for your assessment, we are waiting for you soon."
vanessa zivanovic,6 months ago,"Espectacular la comida, el lugar, el ambiente y todo 👍👍

(Translated by Google) …",Response from the owner,6 months ago,"Gracias Vanessa, te esperamos nuevamente.

(Translated by Google)
Thanks Vanessa, we wait for you again."
Nicolas Soto,6 months ago,"Pizza, Sangria y una buena conversacion, combinacion perfecta para disfrutar de un local con comida de calidad y muy preocupados de la higiene y seguridad en tiempos de pandemia. Totalmente recomendado para ir o pedir por delivery …",Response from the owner,6 months ago,"Gracias por tu valoración, comentarios y recomendación Nicolás, te esperamos nuevamente.

(Translated by Google)
Thank you for your assessment, comments and recommendation Nicolás, we are waiting for you again."
Julia Assicie,6 months ago,,Response from the owner,6 months ago,"Gracias por tu valoración Julia.

(Translated by Google)
Thank you for your assessment Julia."
Roiner Antonio Oquendo Reverol,6 months ago,,Response from the owner,6 months ago,"Gracias Roiner por tu valoración, te esperamos prontamente.

(Translated by Google)
Thank you Roiner for your assessment, we look forward to seeing you."
Jacinta Aranza Urivi Vásquez,6 months ago,,Response from the owner,6 months ago,"Gracias por tu valoración Jacinta.

(Translated by Google)
Thank you for your evaluation Jacinta."
Karen Verastegui,6 months ago,"Súper agradable y rica la comida!

(Translated by Google)
Super nice and delicious food!",Response from the owner,6 months ago,"Gracias por tu valoración y comentarios Karen, te esperamos prontamente.

(Translated by Google)
Thank you for your evaluation and comments Karen, we look forward to seeing you."
Andrés Soto,6 months ago,"Buenas pizzas tipo Napolitano.

Lo recomiendo 100% …",Response from the owner,6 months ago,"Gracias Andrés por tu valoración, comentarios y recomendación.

(Translated by Google)
Thank you Andrés for your assessment, comments and recommendation."
E. Schlomit Flores H.,6 months ago,"Buenas, pero cambiaron la carta de pizza y la carta anterior la variedad era más interesante y sabrosas, y el tiramisu estaba seco y con sabor a crema no a queso, el de antes era mucho mejor, espero puedan volver a la calidad de algunos …",Response from the owner,6 months ago,"Gracias por tu valoración E.Schlomit, haremos llegar tus comentarios al equipo.

(Translated by Google)
Thank you for your evaluation E.Schlomit, we will send your comments to the team."
Fernanda Contreras Camus,7 months ago,,Response from the owner,6 months ago,"Gracias Fernanda por tu valoración, te esperamos nuevamente.

(Translated by Google)
Thank you Fernanda for your assessment, we are waiting for you again."
Francisco Javier Ojeda,7 months ago,"Buenísimo lugar para ir a compartir con amigos, la carta es mas bien enfocado en comida italiana de opciones acotadas. …",Response from the owner,6 months ago,"Gracias por tu valoración y comentarios Francisco.

(Translated by Google)
Thank you for your feedback and comments Francisco."
jeimison morales,7 months ago,,Response from the owner,6 months ago,"Gracias por tu valoración Jeimison.

(Translated by Google)
Thank you for your evaluation Jeimison."
Francisco Frugone,7 months ago,"Sin dudas, las mejores pizzas de Santiago y creo haberlas probado todas.

(Translated by Google) …",Response from the owner,6 months ago,"Gracias Francisco por tu valoración y comentarios.

(Translated by Google)
Thank you Francisco for your assessment and comments."
claudia gottschalk carvallo,7 months ago,,Response from the owner,6 months ago,"Gracias por tu valoración Claudia, te esperamos nuevamente.

(Translated by Google)
Thank you for your assessment Claudia, we are waiting for you again."
Jose Foss,7 months ago,,Response from the owner,6 months ago,"Gracias por tu valoración Jose.

(Translated by Google)
Thank you for your review Jose."
Pame Vergara,7 months ago,"Me encantó

(Translated by Google)
I loved",Response from the owner,6 months ago,"Gracias Pame, por tu valoración, te esperamos prontamente.

(Translated by Google)
Thank you Pame, for your evaluation, we wait for you soon."
Viviana Méndez M.,7 months ago,"Rico pero ojalá las pizzas llegaran más calientes.

(Translated by Google)
Rich but I wish the pizzas were hotter.",Response from the owner,6 months ago,"Gracias Viviana por tu valoración y comentarios, haremos llegar tu comentarios al equipo.

(Translated by Google)
Thanks Viviana for your assessment and comments, we will send your comments to the team."
Paulina Oteiza,7 months ago,,Response from the owner,6 months ago,"Gracias Paulina por tu valoración, te esperamos prontamente.

(Translated by Google)
Thank you Paulina for your assessment, we are waiting for you soon."
Nicolas Cordero,7 months ago,"Excelente lugar, ahora con espacio afuera y no tuvimos que esperar tanto para una mesa, todo rico y muy buena calidad, desde la comida hasta la atencion. …",Response from the owner,7 months ago,"Gracias Nicolas por tu valoracion.

(Translated by Google)
Thanks Nicolas for your assessment."
Cesar Gallardo,7 months ago,,Response from the owner,7 months ago,"Gracias Cesar, te esperamos prontamente.

(Translated by Google)
Thanks Cesar, we wait for you soon."
Ricardo Andrés Cea Carrasco,7 months ago,,Response from the owner,7 months ago,"Gracias Ricardo por tu valoracion.

(Translated by Google)
Thank you Ricardo for your assessment."
Maria Cordero,7 months ago,"Ricas pizzas.

(Translated by Google)
Rich pizzas",Response from the owner,7 months ago,"Gracias por tus comentarios Maria.

(Translated by Google)
Thanks for your comments Maria."
Juan Carlos Segura,7 months ago,,Response from the owner,7 months ago,"Gracias por tu valoracion Juan Carlos.

(Translated by Google)
Thank you for your valuation Juan Carlos."
Luis Faúndez Curamil,7 months ago,,,,
Willy Montenegro,7 months ago,"Excelente ambiente y servicio,  junto a muy buenas Pizzas

(Translated by Google) …",Response from the owner,7 months ago,"Gracias Willy por tus comentarios y valoración.

(Translated by Google)
Thank you Willy for your comments and assessment."
Diana Alvarado,7 months ago,"La mejor pizza del planeta ...súper recomendable ....todo maravilloso

(Translated by Google) …",Response from the owner,7 months ago,"Gracias Diana por tus comentarios.

(Translated by Google)
Thank you Diana for your comments."
Camila Fernanda Bolaño Villablanca,7 months ago,,Response from the owner,7 months ago,"Gracias por tu valoración Camila, nos vemos prontamente.

(Translated by Google)
Thank you for your evaluation Camila, see you soon."
Nicolás Fernández,7 months ago,"Buenos productos. Poca variedad en sabores de jugos.

Las pizzas excelentes pero pequeñas para el valor. …",Response from the owner,7 months ago,"Nicolas, haremos llegar tu comentario, gracias por la preferencia.

(Translated by Google)
Nicolas, we will send your comment, thanks for the preference."
Jesus E. Meneses Millan,7 months ago,"Me encanto! Ricas pizzas al estilo napolitano de verdad! Además, los tragos son increíbles! Se genera un rico ambiente en la terraza del local. La atención es muy buena, lo recomiendo entre una de las primeras opciones en Manuel Montt. …",Response from the owner,7 months ago,"Gracias Jesus por tu valoracion y comentarios, te esperamos nuevamente.

(Translated by Google)
Thank you Jesus for your evaluation and comments, we wait for you again."
Daniela Argañaraz,7 months ago,"De la mejor Pizza Napolitana de la ciudad, si vas no te vas a arrepentir, muy buena atención, 100% recomendado! …",Response from the owner,7 months ago,"Gracias Daniela por tu recomendacion.

(Translated by Google)
Thank you Daniela for your recommendation."
Claudio Claudio,7 months ago,"No debes dejar de ir
Gran experiencia …",Response from the owner,7 months ago,"Gracias claudio por tu recomendacion, te esperamos prontamente.

(Translated by Google)
Thanks Claudio for your recommendation, we wait for you soon."
Rita Gomez,7 months ago,,Response from the owner,7 months ago,"Gracias Rita por tu valoracion.

(Translated by Google)
Thank you Rita for your assessment."
Johanna Español,7 months ago,"Un lugar bastante normal con una pizza muy normal. Los baños no se encontraban limpios, bastante descuidados. …",Response from the owner,7 months ago,"Johanna lamentamos tus comentarios, estamos en proceso de remodelacion de estos.

(Translated by Google)
Johanna, we are sorry for your comments, we are in the process of remodeling them."
Daniela Mendoza,7 months ago,,Response from the owner,7 months ago,"Gracias Daniela por tu valoracion.

(Translated by Google)
Thank you Daniela for your assessment."
Paula Parra,7 months ago,😉,Response from the owner,7 months ago,"Gracias Paula, te esperamos nuevamente.

(Translated by Google)
Thanks Paula, we wait for you again."
