Usuario,Periodo,Comentario
Gricelda G.,7 months ago,"Muy buenas pizzas y cerveza, terraza interior y exterior, lugar cómodo y seguro

(Translated by Google) …"
Paula Serman,7 months ago,
camila espinoza,7 months ago,
Lisette Cuevas,7 months ago,"Deliciosa la comida y el ambiente. Muy buena atención

(Translated by Google) …"
Elizabeth sepulveda,7 months ago,"Lugar amplio y muy preocupados de la higiene y buenas medidas, se agradece sistema de enfriamiento que inyecta particulas de agua al aire, pizzas ricas, yo probé la del peral, ricos postres, sin duda vuelvo y lo recomiendo. …"
Angela Roxana Reyes Rodriguez,7 months ago,
LUIS AURELIO,7 months ago,"Servicio en la media, no sabían lo que tenían disponible. Como consejo les diría que si no tienen un botánico para un Gin, no tomen la decisión de ponerle otro sin consultar al cliente.  Postres  muy ricos. …"
Mario Morales,7 months ago,
Viviana Pimiento,7 months ago,
israel madafarckas,7 months ago,
Matias Montenegro C.,7 months ago,
josmer music.,7 months ago,"Excelenteeeee muy rico todo

(Translated by Google)
Excellenteeee very rich everything"
Katterine Osorio,7 months ago,
Catalina Arredondo,7 months ago,"Deliciosas más pizzas

(Translated by Google)
Delicious more pizzas"
Anglis Herrera,7 months ago,
Leonel Villavicencio,7 months ago,"Buena atención,  un poco caro y poca variedad al momento de elegir apetaicer

(Translated by Google) …"
ALEXANDER ARIAS,7 months ago,"Excelente atención y rica comida

(Translated by Google)
Excellent attention and delicious food"
RODRIGO MUÑOZ M.,7 months ago,
Jani Walker,7 months ago,"Buenísimo.

(Translated by Google)
Terrific."
Antonio Martínez,7 months ago,"El ambiente muy agradable, la comida rica y muy buena atención. Lo único malo es que hay que esperar mucho para entrar y no se puede reservar. …"
Pablo Alejandro de la Fuente Bravo,7 months ago,"Venir con paciencia, mucha gente siempre. Respecto al sabor, todo siempre muy rico …"
Dustin Steven,7 months ago,
patricia heredia valdivia,7 months ago,
Ignacio Valderrama Figueroa,7 months ago,
Mary Ann Orfebreria y Accesorios,7 months ago,
Luis Lopez Villarroel,7 months ago,
Francisca Olivares,7 months ago,"Las pizzas y ensaladas son  buenísimas, además tienen una buena carta de entradas y alcohol. …"
Rubén Rivero Chávez,7 months ago,"Muy buenas pizzas y sobre todo el volcán de chocolate

(Translated by Google) …"
Danny C.,7 months ago,
DALLANA CARDONA,7 months ago,
Nicole Siña Alamo,7 months ago,"Pizzas increíbles! La atención es mejor aún, Eduard se portó increíble con nosotros …"
Diana Vargas,7 months ago,"Excelente

(Translated by Google)
Excellent"
JP BI,7 months ago,"Excelente

(Translated by Google)
Excellent"
Daniela Susana Vazquez,7 months ago,
J.Pablo P.,7 months ago,
josefina ¡!,7 months ago,"muy deliciosas las pizzas variadas y artesanales, atención buena y un lindo lugar, hasta la música era la adecuada! 4 estrellas porque la comida no estaba bien calentada. …"
Laura Vanessa Bermudez,7 months ago,"Riquisima la comida

(Translated by Google)
Delicious food"
Anthony Villarroel,7 months ago,
Juan Pablo Fuentes,7 months ago,"Buenas pizzas

(Translated by Google)
Good pizzas"
Paula Carolina Riquelme Arriagada,7 months ago,"Rico , servicio rápido y eficiente.

(Translated by Google)
Rich, fast and efficient service."
Maria Fernanda Conde,7 months ago,
Koke Fajardo,7 months ago,
Jose Alejandro Vivas Vera,7 months ago,"Buen servicio rica comida

(Translated by Google)
Good service rich food"
Ruben Muñoz,7 months ago,
Paola Medina,7 months ago,"Me encantan las pizzas de este lugar...y los postres....todo es exquisito....

(Translated by Google) …"
Marcelo Urrutia Clavero,7 months ago,"Es un lugar que fue decorado en una casona antigua, tiene vigas a la vista, que me parece que son durmientes de ferrocarril, los muros con ladrillos y otros con adobe, tiene unas lámparas colgantes, que fueron hechas a partir de cilindros …"
Maria Jesús Contreras,7 months ago,
Jose-Andres Garcia Caro,7 months ago,
Diego Sebastian Serey Castillo,7 months ago,"Muy rico todo, pedimos una pizza entrañable y estuvo muy apetitoza. Es bastante razonable el precio así que recomiendo su visita. …"
Andrea Angelica Rozas Trincado,7 months ago,"Ricas pizzas y cervezas para compartir con amigos

(Translated by Google) …"
Pedro Allende,7 months ago,
Valentina Antinao Pastenes,7 months ago,"No defraudan jamás las pizzas ❤

(Translated by Google)
The pizzas never disappoint ❤"
Evelyn Nunez,7 months ago,
Carlos Fuentealba,7 months ago,"Buena calidad, excelente atención y precios.

(Translated by Google) …"
Gladys Diaz,7 months ago,"buena atencion. ricas pizzas .cerveza negra del puerto..recomendable

(Translated by Google) …"
cristian urra,7 months ago,"Todo muy rico, fresco y delicioso nada más que dedir lo recomiendo

(Translated by Google) …"
Dercsas Gamer,7 months ago,
Hiperlorex,7 months ago,"Excelente lugar para ir a comer , pizzas riquísimas y el precio muy económico.

(Translated by Google) …"
maria paz molina,7 months ago,"Excelente

(Translated by Google)
Excellent"
Sofia Espina,7 months ago,"Devina la comida y el ambiente. La atencion muy lenta pero a la final compenso.

(Translated by Google) …"
Jael Segura,7 months ago,
Erwin Guillermo Kaempfe Lavarello,7 months ago,"Muy bueno, solo falto un poco de parmegiano. Todo lo demas buenisimo.

(Translated by Google) …"
Sebastian Rivas,8 months ago,"Ricas pizzas pero las nuestras venían algo frías, podrían mejorar eso, el resto genial! …"
Kiko Mendez,8 months ago,"Buena relación precio/ calidad.
El único problema fue que aún no terminábamos de comer ni beber nuestros tragos y los meseros nos empezaron a apurar para que nos fuéramos ya que había gente …"
Nelson Javier Aguilar Soto,8 months ago,"Excelente servicio, buenas pizzas

(Translated by Google)
Excellent service, good pizzas"
Manuel Alejandro Hernandez,8 months ago,"Agradable lugar

(Translated by Google)
Nice place"
Pazita Oteiza,8 months ago,"Maravillosa atención,  unas pizzas que son lo máximo,  precios razonables, postres exquisitos, demasiado bueno, amplio por lo tanto no hay problema con el distanciamiento social. Les encantará. …"
Francisco Pinto,8 months ago,"Estuve hace una semana aquí, las pizzas son bastante buenas, masa muy rica, aunque algunas mejores que otras, de varias que pedimos con un grupo. La variedad es bastante amplia, para gustos carnívoros o vegetarianos, personalmente me …"
Viviana Collio Vera,8 months ago,"La pizza ""Del monte"" es super rica, con queso de cabra y pesto👌🏿

(Translated by Google) …"
Hernan Pinero,8 months ago,"Excelente

(Translated by Google)
Excellent"
Rob Pereira,8 months ago,"Buenas ensaladas!

(Translated by Google)
Good salads!"
Paola Inostroza,8 months ago,"Jamás me decepciona. Son cuidadosos con las medidas de prevención de contagios.

(Translated by Google) …"
hugo rojas,8 months ago,"Rico rico rico... Y la nueva pizza que se llama entrañable tal como su nombre.

(Translated by Google) …"
Rodrigo Triviño,8 months ago,
Alvaro Guerra,8 months ago,"Buen servicio y rica comida, el local es rico y la terraza amplia, no hay que esperar como en el del mañio, consumo promedio pp 20 mil. …"
Francisco Fernández,8 months ago,
Solange Ampuero,8 months ago,
jimena esteffan,8 months ago,
Sergio Sequera,8 months ago,"Excelentes pizzas y sus cócteles son brutales

(Translated by Google) …"
jesus sanquiz,8 months ago,"Lugar acogedor y con buena atención

(Translated by Google)
Cozy place with good service"
Samantha Palma Rodríguez,8 months ago,
Eduardo Gajardo,8 months ago,"Excelente pizza.

(Translated by Google)
Excellent pizza."
carlos andres correa vargas,8 months ago,
Maria Gabriela Aranda Diaz,8 months ago,
Ariel Marin,8 months ago,
Patricio Recabal Leiva,8 months ago,"Un menú con dos opciones, pizza o ensalada

(Translated by Google)
A menu with two options, pizza or salad"
Constanza Fuentes Constancio,8 months ago,Great and a wide variety of everything
Cecilia Espinoza,8 months ago,"Excelente..rico y muy económico

(Translated by Google)
Excellent..rich and very economical"
Hugo,8 months ago,
Cristhoper Riquelme,8 months ago,
María José Pinuer Caro,8 months ago,"Bien! Bello lugar, la comida bien pero nada espectacular.

(Translated by Google) …"
Constanza Blanco,8 months ago,"La pizza lamentablemente no fue de mi agrado. Tenía muy poco sabor y se notaba que le faltaba sazón a los ingredientes.
No volvería a ir a este restaurante. …"
Alezandra Correa,8 months ago,
Loreto Huerta,8 months ago,
york gt,8 months ago,
Rodrigo Acevedo Ulloa,8 months ago,
Vicente Peña Ugarte,8 months ago,"Todo bkn

(Translated by Google)
All bkn"
Verónica Duijvesteijn,8 months ago,"Buen servicio, rica la comida con todas las medidas sanitarias que corresponde

(Translated by Google) …"
Mauricio Grez,8 months ago,"Como siempre, la atención, simpatía y cercanía un 10, solo noté esta vez una diferencia en el sabor, pedí como siempre la Japonesa y otra para probar. No sé si habra sido el queso o algún otro ingrediente. …"
maria hernandez,8 months ago,
Aldo Caprile,8 months ago,
Suyin Ochoa,8 months ago,
Javier Muñoz,8 months ago,"Excelente !!!!

(Translated by Google)
Excellent !!!!"
Patricia Velasquez,8 months ago,"Ricas y rápido

(Translated by Google)
Rich and fast"
Eduardo Albornoz,8 months ago,"Excelente lugar. Las mejores pizzas.

(Translated by Google)
Excellent place. The best pizzas."
Patricia Carrillo Reyes,8 months ago,
pamela stephanie espinoza valenzuela,8 months ago,"Excelente como siempre...

(Translated by Google)
Excelent as always..."
Luis Méndez Moreno,8 months ago,"Ricas pizzas, pero venían tibias,  no a temperatura de recién sacada del horno, lo otro, la michelada se le pasó la mano con el aji, bueno puntos a mejorar, por eso 4 estrellas …"
Francisca mella duarte,8 months ago,
Consuelo Gallego,8 months ago,
Jimena Esteffan,8 months ago,
Miguel Beltrán,8 months ago,"Atención rapidísima, comida muy fresca (Margarita), excelente elección, grato ambiente, resumen vuelvo a ir! …"
Eduardo Muñoz,8 months ago,
ammm coca,8 months ago,"Buen lugar!

(Translated by Google)
Good place!"
javi romero,8 months ago,
Claudio Vásquez,8 months ago,
Francisco Flores Godoy,8 months ago,
Ricardo Arancibia,8 months ago,"Un muy buen lugar, las pizzas ricas pero no venían muy calientes

(Translated by Google) …"
Cristian Garcia Mendoza,8 months ago,
Belen Cespedes Parada,8 months ago,
Aimarys Belly,8 months ago,
ANDREINA DELGADO,8 months ago,
Simon Perez,8 months ago,
Angelica Salamanca,8 months ago,"Rico todo!!

(Translated by Google)
Rich everything !!"
Laura Mogollón,8 months ago,"Las pizzas son deliciosas, no son grasosas y la masa es delgada.

(Translated by Google) …"
Alejandro Pineda,8 months ago,
Fabián Morales,8 months ago,"Mal servicio de Delivery.

(Translated by Google)
Bad delivery service."
Javiera Paz Cano Valenzuela,8 months ago,"No hacen delivery a Independencia, siendo que son 15 minutos en moto. Pésimo servicio …"
rulo vale,8 months ago,"Pedimos un ceviche y era solo cebolla nada más deberían mejorar la tecnica

(Translated by Google) …"
Cristian Mendoza,8 months ago,"Buen espacio y servicio;
Pero lo principal la pizza no me gusto para nada, tienen masa sin gluten, pero no se parece en nada a la normal y llego semi cruda. …"
Javier Cuellar Besa,8 months ago,"Muy bueno

(Translated by Google)
Very good"
Arq. Antonio Dávila Calzadilla,8 months ago,"Muy buen ambiente y excelente servicio. Las pizzas son ricas , salen muy rápido porque son de masa fina . Es espacio muy agradable. …"
Richard Vegas,8 months ago,"Rica variedad de pizzas bebidas y cervezas recomendado...

(Translated by Google) …"
Tania Pavez,8 months ago,
Javiera Carvajal,8 months ago,"Muy buenas pizzas y micheladas, carta variada de comidas y alcohol. Si quieres conseguir mesa, si o si te recomiendo reservar. …"
Jose Luis Fuenzalida,8 months ago,"Rico y bien atendido

(Translated by Google)
Rich and well cared for"
Andreina,8 months ago,
Ange Hi,8 months ago,
LIOGEL RAMOS,9 months ago,
Gilne Hernandez,9 months ago,"Excelente lugar con entradas, pizzas y ensaladas.

(Translated by Google) …"
Diego Moreira,9 months ago,
Matias Valdebenito,9 months ago,"Las pizas muy ricas, no se puede elegir media piza d un sabor y de otra, malo es, en todas las pizerias se puede pedir asi, el servicio de garzones regular …"
Roberto Vásquez Saa,9 months ago,"Rica pizza

(Translated by Google)
Rich pizza"
Boris Gonzalez,9 months ago,
Karen Roa,9 months ago,
César Moltedo,9 months ago,
Sole Vega,9 months ago,"Muy grato ambiente y rico lugar donde comer pizzas con variedad de opciones

(Translated by Google) …"
Wilman Urdaneta,9 months ago,
Juan Jaime Vega Fernández,9 months ago,"Todo rico, excelente atención

(Translated by Google)
All rich, excellent care"
Andres Tabarez,9 months ago,
Jesus Diaz,9 months ago,"Excelente servicio. 100% recomendado.

(Translated by Google)
Excellent service. 100% recommended."
Betulio E. Gonzalez M.,9 months ago,"Bueno bueno!! Atencion impecable, buena comida, buen ambiente!!

(Translated by Google) …"
Margarita Chavez,9 months ago,"Excelente atención!

(Translated by Google)
Excellent attention!"
Juan Echeverria,9 months ago,"Excelente sitio, buena comida y una experiencia inolvidable,  lo recomiendo.

(Translated by Google) …"
Ignacia Bonet Cabrera,9 months ago,
Braulio Parra,9 months ago,"Es el lugar donde encontrarás el sabor de la pizza, no mezclas o experimentos, nos servimos nunca napolitana y su sabor conmemora lo que es una pizza. 100% recomendable …"
Felipe Valdés,9 months ago,"Las 2 pizzas muy ricas!!!

(Translated by Google)
The 2 very tasty pizzas !!!"
Marcelo Muñoz,9 months ago,"Ondera. Entretenida

(Translated by Google)
Ondera. Entertaining"
Andrea Peralta,9 months ago,
Ignacio Araya Rötger,9 months ago,
Erika Rodrigues,9 months ago,
Steven García,9 months ago,Muy bueno el sitio. La explicación de como debemos estar y buena la carta. Bien los precios. La atención un poco lenta …
roberto eslava,9 months ago,Pretencioso.. Lleno de gente tomando una cerveza... Fome.. Las pizzas... Mmm.. Todo mal... Igual que el local de El. Mañio …
Jean Paul Charnay,9 months ago,
Joselyn Cabrera,9 months ago,"Comida divina

(Translated by Google)
Divine food"
Ale Sanhueza Lutz,9 months ago,
Maria Jose Martinez Rey,9 months ago,
Carla Flores,9 months ago,
Ruben Rodriguez,9 months ago,"¡Delicioso!

(Translated by Google)
Delicious!"
Meme Zutrep,9 months ago,
S Prat,9 months ago,"Todo bien. Se entiende la espera producto de las restricciones de pandemia, pero la atención no es buena. …"
Melany Torriani Valdivia,9 months ago,"Exquisita la comida.. muy rápido en llegar lo que se pide a la mesa, nos encantó además que el menú es acorde a todos los gustos, tanto adultos como niños! Muy recomendado!! …"
Daniel Landaeta Quijada,9 months ago,
Carolina Lamuño,9 months ago,"El trato al cliente es muy amable

(Translated by Google)
Customer service is very friendly"
Iván Daniel Moreno Díaz,9 months ago,"Todo delicioso. Precios medio-altos para el sector. Pídase una pizza!

(Translated by Google) …"
ANDREA JORQUERA BERRIOS,9 months ago,
Felipe Núñez,9 months ago,"Demasiado rico todo y super buena atención

(Translated by Google) …"
Erika Valenzuela,9 months ago,"Los tragos no estaban tan ricos, tejían demasiado hielo y el mesero regó el trago de mi amigo en mi pantalón y solo repusieron el trago de el y a mi que fui la persona mojada solo me pasaron papel, ni una cortesía por el mal rato, era de …"
Andres Carlier,9 months ago,"Ricas pizzas, cervezas y sangría.

(Translated by Google)
Delicious pizzas, beers and sangria."
Matias Cea Arce,9 months ago,"Excelente!

(Translated by Google)
Excellent!"
gonzalo elorrieta,9 months ago,
Teresa Canales,9 months ago,"Lindo lugar. Rica comida.  Buena atención.

(Translated by Google)
Nice place. Nice Food. Good attention."
Carolina Torres,9 months ago,"Buenas pizzas, a precio razonable

(Translated by Google)
Good pizzas, reasonably priced"
Usmauri Santiago,9 months ago,"Agradable lugar. Excelente atención, buena comida y el pedido llegó rápido. Comimos 2 personas (pueden comer 3 mujeres) más bebidas y el monto total fue 27 mil pesos. …"
jorge tieffenberg,9 months ago,"Agradable ambiente

(Translated by Google)
Nice atmosphere"
Marisol Castro,9 months ago,"Muy bonito .con todas las condiciones  sanitarias...y exquisita comida

(Translated by Google) …"
Andrea Olivares,9 months ago,
manuel hernan vergara,9 months ago,
Romina Elizalde Riquelme,9 months ago,
Daniela Andrea Madrid Vila,9 months ago,
Germania Gonzalez,9 months ago,"Excelente la atención al cliente con las medidas de seguridad Covid, deliciosas las pizzas, la michelada y la copa de helado …"
Ignacio Moreno,9 months ago,
Marinelly Arvelaez Alvarado,9 months ago,"Buena comida buenas atención

(Translated by Google)
Good food, good attention"
carmen Bello,9 months ago,
Ma.Alejandra Abarca Leon,9 months ago,
maydeli flores,9 months ago,
Alejandro Murillo Gil,9 months ago,
Abilio Gonzalez,10 months ago,
alvaro villena,10 months ago,
juan vicente Diaz riera,10 months ago,"Excelente atención. Los platos super ricos y  buen tiempo de espera. Salen muy rápidos. Ahora en tiempos de coronavirus.  Tomaron todas las medidas de protección, señalización  y distanciamiento …"
Leonardo Jimenez,10 months ago,"Simplemente SABROSA RIO

(Translated by Google)
Simply TASTY RIO"
fabiola Santos,10 months ago,"muy buena atención, lugar muy agradable ademas la carta es variada y rica , para todos los gustos ademas tiene buenos precios . recomiendo conocer. …"
Jesús Albarracín,10 months ago,
Kath Vizcaya,a year ago,"Comida rica

(Translated by Google)
Good food"
Jhonny Cabrera,a year ago,
Luirmer Rea,a year ago,
yuliza lara,a year ago,
Alexander Caceres,a year ago,
Patricia Hernandez,a year ago,
elmaticaceres,a year ago,"La pizza con peras está a otro nivel

(Translated by Google)
Pizza with pears is on another level"
Lorena Zagal,a year ago,"Todo exquisito!!!!

(Translated by Google)
All exquisite !!!!"
Maria E Alvarez,a year ago,"Muy buenas pizzas

(Translated by Google)
Very good pizzas"
David Cohen,a year ago,
Cristian Romero,a year ago,"Buena pizza. Lindo lugar

(Translated by Google)
Good pizza Nice place"
Mardem Cecim,a year ago,"Ya he conocido a 2 Tio Tomate, Los dos muy buenos, lo recomiendo a todos, pizzas maravillosas y tragos variados. …"
Fernanda Yáñez,a year ago,
ROSA ANGELICA BENITEZ VELIZ,a year ago,"Buenísima las pizzas...

(Translated by Google)
Great pizzas ..."
Karen Carvacho,a year ago,"Pizzas exquisitas

(Translated by Google)
Exquisite pizzas"
Maria Bompart,a year ago,
Felipe Menares,a year ago,
Freddy Flores,a year ago,"Exelente comida y atención  al cliente

(Translated by Google)
Excellent food and customer service"
Marisol Osorio Ramírez,a year ago,"Me gusta el lugar, su decoración y atención. Además de los humificadores que hacen los días de calor muy agradables. Pizzas muy ricas y los tragos también. …"
Francisco Brunner,a year ago,"Buena comida, sin embargo, es muy ruidoso y se hace difícil tener una conversación …"
Sthefanny Ordenes Marinkovic,a year ago,"Ambiente cálido, buena atención y por lo que he vuelto al local es el chocolatisimo, lo mejor. …"
Paola Ruiz Finol,a year ago,
César Medina,a year ago,"Excelente atención y la comida; deliciosa, la sirven rápido, bien en el montaje y la temperatura. …"
Daniela Solis,a year ago,
rodrigo marcelo diaz diaz,a year ago,
Gabriel Freites,a year ago,
